"105","Port Hardy","BC","British Columbia","CA","Canada","0","0","13"
"106","Port McNeill","BC","British Columbia","CA","Canada","0","0","5"
"107","Port Moody","BC","British Columbia","CA","Canada","0","0","9"
"108","Pouce Coupe","BC","British Columbia","CA","Canada","0","0","1"
"109","Powell River","BC","British Columbia","CA","Canada","0","0","10"
"110","Prince George","BC","British Columbia","CA","Canada","0","0","102"
"111","Prince Rupert","BC","British Columbia","CA","Canada","0","0","22"
"112","Princeton","BC","British Columbia","CA","Canada","0","0","19"
"113","Qualicum Beach","BC","British Columbia","CA","Canada","0","0","6"
"114","Queen Charlotte","BC","British Columbia","CA","Canada","0","0","12"
"115","Quesnel","BC","British Columbia","CA","Canada","0","0","12"
"116","Radium Hot Springs","BC","British Columbia","CA","Canada","0","0","3"
"117","Revelstoke","BC","British Columbia","CA","Canada","0","0","14"
"118","Richmond","BC","British Columbia","CA","Canada","0","0","42"
"119","Rossland","BC","British Columbia","CA","Canada","0","0","20"
"120","Saanich","BC","British Columbia","CA","Canada","0","0","34"
"121","Salmo","BC","British Columbia","CA","Canada","0","0","1"
"122","Salmon Arm","BC","British Columbia","CA","Canada","0","0","50"
"123","Sayward","BC","British Columbia","CA","Canada","0","0","2"
"124","Sechelt","BC","British Columbia","CA","Canada","0","0","13"
"125","Sechelt Indian Government District","BC","British Columbia","CA","Canada","0","0","4"
"126","Sicamous","BC","British Columbia","CA","Canada","0","0","5"
"127","Sidney","BC","British Columbia","CA","Canada","0","0","2"
"128","Silverton","BC","British Columbia","CA","Canada","0","0","1"
"129","Slocan","BC","British Columbia","CA","Canada","0","0","1"
"130","Smithers","BC","British Columbia","CA","Canada","0","0","5"
"131","Sooke","BC","British Columbia","CA","Canada","0","0","19"
"132","Spallumcheen","BC","British Columbia","CA","Canada","0","0","82"
"133","Sparwood","BC","British Columbia","CA","Canada","0","0","62"
"134","Squamish","BC","British Columbia","CA","Canada","0","0","34"
"135","Stewart","BC","British Columbia","CA","Canada","0","0","176"
"136","Summerland","BC","British Columbia","CA","Canada","0","0","24"
"137","Sun Peaks","BC","British Columbia","CA","Canada","0","0","14"
"138","Surrey","BC","British Columbia","CA","Canada","0","0","101"
"139","Tahsis","BC","British Columbia","CA","Canada","0","0","2"
"140","Taylor","BC","British Columbia","CA","Canada","0","0","6"
"141","Telkwa","BC","British Columbia","CA","Canada","0","0","3"
"142","Terrace","BC","British Columbia","CA","Canada","0","0","19"
"143","Tofino","BC","British Columbia","CA","Canada","0","0","4"
"144","Trail","BC","British Columbia","CA","Canada","0","0","12"
"145","Tumbler Ridge","BC","British Columbia","CA","Canada","0","0","497"
"146","Ucluelet","BC","British Columbia","CA","Canada","0","0","3"
"147","Valemount","BC","British Columbia","CA","Canada","0","0","2"
"148","Vancouver","BC","British Columbia","CA","Canada","0","0","37"
"149","Vanderhoof","BC","British Columbia","CA","Canada","0","0","18"
"150","Vernon","BC","British Columbia","CA","Canada","0","0","31"
"151","Victoria","BC","British Columbia","CA","Canada","0","0","7"
"152","View Royal","BC","British Columbia","CA","Canada","0","0","5"
"153","Warfield","BC","British Columbia","CA","Canada","0","0","1"
"154","Wells","BC","British Columbia","CA","Canada","0","0","51"
"155","West Kelowna","BC","British Columbia","CA","Canada","0","0","40"
"156","West Vancouver","BC","British Columbia","CA","Canada","0","0","28"
"157","Whistler","BC","British Columbia","CA","Canada","0","0","77"
"158","White Rock","BC","British Columbia","CA","Canada","0","0","2"
"159","Williams Lake","BC","British Columbia","CA","Canada","0","0","11"
"160","Zeballos","BC","British Columbia","CA","Canada","0","0","1"
